arm,scope,stage,kernel,calls,milliseconds_per_round
old,drafter,Drafter,_gemm_a8w8_blockscale_preshuffle_kernel_GROUP_K_128_GROUP_N_128_BLOCK_SIZE_M_16_BLOCK_SIZE_N_128_BLOCK_SIZE_K_128_GROUP_SIZE_M_8_NUM_KSPLIT_1_SPLITK_BLOCK_SIZE_5120_EVEN_K_1_GRID_MN_48_cache_modifier_NONE.kd,30,0.2732218333333334
fixed,drafter,Drafter,_gemm_a8w8_blockscale_preshuffle_kernel_GROUP_K_128_GROUP_N_128_BLOCK_SIZE_M_16_BLOCK_SIZE_N_128_BLOCK_SIZE_K_128_GROUP_SIZE_M_8_NUM_KSPLIT_1_SPLITK_BLOCK_SIZE_5120_EVEN_K_1_GRID_MN_48_cache_modifier_NONE.kd,30,0.27456933333333333
old,drafter,Drafter,_prepare_dflash_inputs_kernel.kd,6,0.007819
fixed,drafter,Drafter,_prepare_dflash_inputs_kernel.kd,6,0.008032333333333334
old,drafter,Drafter,_rerank_exact.kd,6,0.008605833333333333
fixed,drafter,Drafter,_rerank_exact.kd,6,0.008919
old,drafter,Drafter,_selector_walk_kernel.kd,6,0.007865833333333332
fixed,drafter,Drafter,_selector_walk_kernel.kd,6,0.008092333333333333
old,drafter,Drafter,kernel_unified_attention.kd,30,1.8529236666666669
fixed,drafter,Drafter,kernel_unified_attention.kd,30,1.9577850000000008
old,drafter,Drafter,reshape_and_cache_kernel_flash.kd,60,0.02698383333333333
fixed,drafter,Drafter,reshape_and_cache_kernel_flash.kd,60,0.027483333333333332
old,drafter,Drafter,triton_per_fused_4.kd,6,0.0019256666666666667
fixed,drafter,Drafter,triton_per_fused_4.kd,6,0.001985666666666667
fixed,drafter,Drafter,triton_per_fused_8.kd,24,0.007602666666666668
old,drafter,Drafter,triton_per_fused_9.kd,24,0.007489833333333332
old,drafter,Drafter,triton_per_fused__to_copy_abs_clamp_div_max_preshuffle_gemm_squeeze_view_0.kd,30,0.009581666666666667
fixed,drafter,Drafter,triton_per_fused__to_copy_abs_clamp_div_max_preshuffle_gemm_squeeze_view_0.kd,30,0.010141666666666665
old,drafter,Drafter,triton_per_fused__to_copy_abs_clamp_div_max_preshuffle_gemm_squeeze_view_2.kd,6,0.0022723333333333337
fixed,drafter,Drafter,triton_per_fused__to_copy_abs_clamp_div_max_preshuffle_gemm_squeeze_view_2.kd,6,0.002085666666666667
old,drafter,Drafter,triton_per_fused__to_copy_abs_clamp_div_max_preshuffle_gemm_squeeze_view_4.kd,54,0.014477833333333339
fixed,drafter,Drafter,triton_per_fused__to_copy_abs_clamp_div_max_preshuffle_gemm_squeeze_view_4.kd,54,0.0162245
old,drafter,Drafter,triton_per_fused__to_copy_abs_clamp_div_max_view_0.kd,6,0.004099
fixed,drafter,Drafter,triton_per_fused__to_copy_abs_clamp_div_max_view_0.kd,6,0.005499
old,drafter,Drafter,triton_poi_fused_0.kd,6,0.002685666666666667
fixed,drafter,Drafter,triton_poi_fused_0.kd,6,0.0026056666666666667
old,drafter,Drafter,triton_poi_fused_10.kd,24,0.007502666666666667
old,drafter,Drafter,triton_poi_fused_5.kd,6,0.0022323333333333336
fixed,drafter,Drafter,triton_poi_fused_5.kd,6,0.0023190000000000003
fixed,drafter,Drafter,triton_poi_fused_9.kd,24,0.009156
old,drafter,Drafter,triton_poi_fused__to_copy_clamp_div_mul_preshuffle_gemm_silu_slice_squeeze_view_7.kd,30,0.015428333333333337
old,drafter,Drafter,triton_poi_fused__to_copy_clamp_div_preshuffle_gemm_squeeze_view_1.kd,30,0.011794999999999996
fixed,drafter,Drafter,triton_poi_fused__to_copy_clamp_div_preshuffle_gemm_squeeze_view_1.kd,30,0.011861833333333335
old,drafter,Drafter,triton_poi_fused__to_copy_clamp_div_preshuffle_gemm_squeeze_view_3.kd,6,0.0020590000000000005
